location_name,node_id,node_name,lat,lon,connected_to,distance_km
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,cipulir 1,3.38
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,karet sudirman d-e-f,5.73
karet sudirman d-e-f,m1,blok m - kota,-6.212352,106.819981,cipulir 1,5.73
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,menara astra,0.92
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,museum kebangkitan,3.66
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,menara astra,3.66
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,one park residences,5.61
one park residences,1q,rempoa - blok m,-6.245436,106.78844,menara astra,5.61
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,patra kuningan,3.02
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,menara astra,3.02
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,pengadilan negeri jaksel 1,8.22
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,menara astra,8.22
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,jln. poncol jaya 2,3.56
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,menara astra,3.56
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,rs harapan bunda,11.64
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,menara astra,11.64
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,kalibata city 1,6.44
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,menara astra,6.44
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,permata eksekutif 2,6.36
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,menara astra,6.36
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,jln. h. gari,8.75
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,menara astra,8.75
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,transvision,3.68
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,menara astra,3.68
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,rs mitra keluarga 2,19.28
