id,start,end,start_x,start_y,end_x,end_y,length,travel_time
47,7209925278,2600703941,106.7409562,-6.2103065,106.7438134,-6.215371,646,29
48,2600703941,2600703952,106.7438134,-6.215371,106.7451998,-6.2176779,299,28
49,2600703952,2600699419,106.7451998,-6.2176779,106.7460864,-6.2177067,109,10
50,2600699419,5482010587,106.7460864,-6.2177067,106.746804,-6.2175765,81,15
51,5482010587,5482010590,106.746804,-6.2175765,106.7468356,-6.2177421,19,2
52,5482010590,5482010586,106.7468356,-6.2177421,106.746421,-6.21782,47,8
53,5482010586,2597827552,106.746421,-6.21782,106.7461796,-6.2178712,27,5
54,2597827552,5482009902,106.7461796,-6.2178712,106.7454655,-6.2181725,86,15
55,5482009902,5482009899,106.7454655,-6.2181725,106.7451607,-6.2183445,39,7
56,5482009899,2600699427,106.7451607,-6.2183445,106.7448707,-6.2185178,37,7
57,2600699427,6320055551,106.7448707,-6.2185178,106.7444671,-6.2187697,53,9
58,6320055551,8496179725,106.7444671,-6.2187697,106.7443774,-6.2188227,12,2
59,8496179725,5482010635,106.7443774,-6.2188227,106.7436616,-6.2192454,92,17
60,5482010635,1709453452,106.7436616,-6.2192454,106.7435495,-6.2193054,14,3
61,1709453452,344580098,106.7435495,-6.2193054,106.7421367,-6.2200051,174,31
62,344580098,6320025433,106.7421367,-6.2200051,106.7414179,-6.2203215,87,16
63,6320025433,344580096,106.7414179,-6.2203215,106.7412635,-6.2203757,18,3
64,344580096,1709453459,106.7412635,-6.2203757,106.7395988,-6.220295,186,33
65,1709453459,1709453456,106.7395988,-6.220295,106.7394423,-6.2202806,17,3
66,1709453456,1709453454,106.7394423,-6.2202806,106.7389387,-6.2202529,56,10
67,1709453454,344580094,106.7389387,-6.2202529,106.7374634,-6.220069,164,30
68,344580094,5010893970,106.7374634,-6.220069,106.7372914,-6.2219738,213,32
69,5010893970,344614508,106.7372914,-6.2219738,106.7373139,-6.2228808,101,15
70,344614508,5495204826,106.7373139,-6.2228808,106.7367831,-6.223004,60,9
71,5495204826,1709440072,106.7367831,-6.223004,106.7366655,-6.2230304,13,2
72,1709440072,4908710943,106.7366655,-6.2230304,106.7359696,-6.2230355,77,12
73,4908710943,4908707072,106.7359696,-6.2230355,106.7357073,-6.2230358,29,4
74,4908707072,7259813819,106.7357073,-6.2230358,106.7353664,-6.2230391,38,6
